sep=; 
Time;Heater L;Heater R;TS-1;TS-2;TS-3;TS-4;T-Set;T-Actual;PWR-Heat;PWR-Fan;T-ColdJ;Mode
01:52,75;144,8;148,1;101,6;102,9;0,0;0,0;105;102,3; 27; 60;29,8;REFLOW
01:53,25;144,8;148,1;101,6;103,1;0,0;0,0;105;102,4; 27; 60;29,8;REFLOW
01:53,50;145,9;148,1;101,7;103,1;0,0;0,0;105;102,4; 27; 60;29,9;REFLOW
01:53,75;145,9;148,1;101,8;103,1;0,0;0,0;105;102,4; 27; 60;29,8;REFLOW
01:54,00;145,9;149,2;101,8;103,3;0,0;0,0;105;102,5; 27; 60;29,8;REFLOW
01:54,25;145,9;149,2;101,8;103,4;0,0;0,0;105;102,6; 28; 60;29,8;REFLOW
01:54,50;145,9;149,2;101,8;103,5;0,0;0,0;105;102,6; 27; 60;29,8;REFLOW
01:54,75;145,9;149,2;101,8;103,5;0,0;0,0;105;102,6; 28; 60;29,8;REFLOW
01:55,00;145,9;149,2;101,8;103,5;0,0;0,0;106;102,6; 30; 60;29,8;REFLOW
01:55,25;145,9;149,2;101,8;103,5;0,0;0,0;106;102,6; 30; 60;29,8;REFLOW
01:55,50;145,9;149,2;101,8;103,6;0,0;0,0;106;102,7; 28; 60;29,8;REFLOW
01:55,75;145,9;149,2;101,8;103,7;0,0;0,0;106;102,8; 27; 60;29,7;REFLOW
01:56,00;147,0;149,2;101,8;103,9;0,0;0,0;106;102,8; 28; 60;29,8;REFLOW
01:56,25;147,0;150,3;101,8;103,9;0,0;0,0;106;102,9; 29; 60;29,9;REFLOW
01:56,50;148,1;150,3;101,8;104,1;0,0;0,0;106;103,0; 27; 60;29,7;REFLOW
01:56,75;148,1;151,4;101,8;104,3;0,0;0,0;106;103,0; 27; 60;29,8;REFLOW
01:57,00;147,0;151,4;101,9;104,4;0,0;0,0;106;103,1; 27; 60;29,8;REFLOW
01:57,25;147,0;151,4;101,9;104,4;0,0;0,0;106;103,2; 28; 60;29,8;REFLOW
01:57,50;148,1;151,4;102,1;104,4;0,0;0,0;106;103,2; 27; 60;29,9;REFLOW
01:57,75;148,1;151,4;102,2;104,4;0,0;0,0;106;103,3; 26; 60;29,8;REFLOW
01:58,00;147,0;152,5;102,2;104,4;0,0;0,0;106;103,3; 29; 60;29,8;REFLOW
