sep=; 
00:00,00;78,1;68,2;41,2;43,4;0,0;0,0; 30;42,3;  0;255;30,6;REFLOW
00:00,25;78,1;68,2;41,3;43,5;0,0;0,0; 30;42,4;  0;255;30,6;REFLOW
00:00,50;78,1;68,2;41,6;43,9;0,0;0,0; 30;42,8;  0;255;30,6;REFLOW
00:00,75;78,1;68,2;41,9;44,1;0,0;0,0; 30;43,0;  0;255;30,6;REFLOW
00:01,00;78,1;68,2;42,1;44,2;0,0;0,0; 30;43,2;  0;255;30,7;REFLOW
00:01,25;78,1;68,2;42,4;44,4;0,0;0,0; 30;43,4;  0;255;30,6;REFLOW
00:01,50;78,1;68,2;42,5;44,6;0,0;0,0; 30;43,5;  0;255;30,6;REFLOW
00:01,75;78,1;68,2;42,6;44,8;0,0;0,0; 30;43,7;  0;255;30,6;REFLOW
00:02,00;78,1;68,2;42,8;45,0;0,0;0,0; 31;43,9;  0;255;30,6;REFLOW
00:02,25;78,1;68,2;43,0;45,2;0,0;0,0; 31;44,1;  0;255;30,6;REFLOW
00:02,50;78,1;68,2;43,2;45,3;0,0;0,0; 31;44,3;  0;255;30,6;REFLOW
00:02,75;78,1;68,2;43,3;45,4;0,0;0,0; 31;44,3;  0;255;30,6;REFLOW
00:03,00;78,1;68,2;43,5;45,4;0,0;0,0; 31;44,5;  0;255;30,6;REFLOW
00:03,25;78,1;68,2;43,6;45,4;0,0;0,0; 31;44,5;  0;255;30,6;REFLOW
00:03,50;78,1;69,3;43,6;45,4;0,0;0,0; 31;44,5;  0;255;30,6;REFLOW
00:03,75;77,0;69,3;43,8;45,4;0,0;0,0; 31;44,6;  0;255;30,6;REFLOW
00:04,00;78,1;70,4;43,9;45,4;0,0;0,0; 32;44,7;  0;255;30,6;REFLOW
00:04,25;78,1;71,5;43,9;45,4;0,0;0,0; 32;44,7;  0;255;30,6;REFLOW
00:04,50;77,0;71,5;43,9;45,6;0,0;0,0; 32;44,8;  0;255;30,6;REFLOW
00:04,75;77,0;71,5;44,1;45,8;0,0;0,0; 32;44,9;  0;255;30,6;REFLOW
00:05,00;77,0;71,5;44,3;45,9;0,0;0,0; 33;45,1;  0;255;30,6;REFLOW
00:05,25;77,0;72,6;44,5;46,1;0,0;0,0; 33;45,3;  0;255;30,6;REFLOW
