sep=; 
Time;Heater L;Heater R;TS-1;TS-2;TS-3;TS-4;T-Set;T-Actual;PWR-Heat;PWR-Fan;T-ColdJ;Mode
01:06,00;133,2;106,8;81,1;65,6;0,0;0,0; 88;81,1; 56; 60;26,3;REFLOW
01:07,25;133,2;106,8;81,4;65,8;0,0;0,0; 88;81,4; 58; 60;26,3;REFLOW
01:07,50;133,2;106,8;81,6;65,9;0,0;0,0; 88;81,6; 58; 60;26,3;REFLOW
01:07,75;134,3;107,9;81,8;66,1;0,0;0,0; 88;81,8; 57; 60;26,3;REFLOW
01:07,00;134,3;107,9;82,0;66,3;0,0;0,0; 88;82,0; 53; 60;26,3;REFLOW
01:08,25;135,4;107,9;82,3;66,4;0,0;0,0; 89;82,3; 56; 60;26,3;REFLOW
01:08,50;135,4;109,0;82,6;66,6;0,0;0,0; 89;82,6; 52; 60;26,3;REFLOW
01:08,75;135,4;109,0;82,8;66,7;0,0;0,0; 89;82,8; 51; 60;26,3;REFLOW
01:08,00;135,4;109,0;83,1;66,8;0,0;0,0; 89;83,1; 47; 60;26,3;REFLOW
01:09,25;136,5;110,1;83,3;67,0;0,0;0,0; 89;83,3; 52; 60;26,3;REFLOW
01:09,50;137,6;110,1;83,5;67,1;0,0;0,0; 89;83,5; 51; 60;26,4;REFLOW
01:09,75;137,6;110,1;83,8;67,2;0,0;0,0; 89;83,8; 48; 60;26,2;REFLOW
01:09,00;137,6;110,1;83,9;67,3;0,0;0,0; 89;83,9; 49; 60;26,3;REFLOW
01:10,25;138,7;111,2;84,1;67,4;0,0;0,0; 90;84,1; 49; 60;26,4;REFLOW
01:10,50;138,7;111,2;84,3;67,5;0,0;0,0; 90;84,3; 50; 60;26,3;REFLOW
01:10,75;139,8;111,2;84,4;67,6;0,0;0,0; 90;84,4; 47; 60;26,4;REFLOW
01:10,00;139,8;112,3;84,6;67,7;0,0;0,0; 90;84,6; 48; 60;26,3;REFLOW
01:11,25;139,8;112,3;84,7;67,8;0,0;0,0; 90;84,7; 51; 60;26,3;REFLOW
01:11,50;140,9;112,3;84,9;67,9;0,0;0,0; 90;84,9; 48; 60;26,3;REFLOW
01:11,75;140,9;112,3;85,0;68,0;0,0;0,0; 90;85,0; 48; 60;26,3;REFLOW
01:11,00;142,0;113,4;85,2;68,1;0,0;0,0; 90;85,2; 46; 60;26,2;REFLOW
01:12,25;142,0;113,4;85,3;68,3;0,0;0,0; 91;85,3; 50; 60;26,2;REFLOW
01:12,50;142,0;113,4;85,5;68,4;0,0;0,0; 91;85,5; 47; 60;26,3;REFLOW
01:12,75;143,1;113,4;85,6;68,6;0,0;0,0; 91;85,6; 49; 60;26,3;REFLOW
01:12,00;143,1;113,4;85,6;68,6;0,0;0,0; 91;85,6; 49; 60;26,3;REFLOW
