sep=; 
Time;Heater L;Heater R;TS-1;TS-2;TS-3;TS-4;T-Set;T-Actual;PWR-Heat;PWR-Fan;T-ColdJ;Mode
04:38,50;215,7;242,1;139,5;133,1;0,0;0,0;131;136,3;  0; 66;29,4;REFLOW
04:38,75;214,6;242,1;139,3;132,9;0,0;0,0;131;136,1;  0; 60;29,3;REFLOW
04:39,00;213,5;242,1;139,2;132,7;0,0;0,0;130;135,9;  0; 78;29,3;REFLOW
04:39,25;212,4;242,1;138,9;132,4;0,0;0,0;130;135,7;  0; 66;29,4;REFLOW
04:39,50;212,4;242,1;138,8;132,3;0,0;0,0;130;135,6;  0; 72;29,4;REFLOW
04:39,75;212,4;242,1;138,6;132,1;0,0;0,0;130;135,4;  0; 63;29,4;REFLOW
04:40,00;211,3;242,1;138,5;132,0;0,0;0,0;130;135,3;  0; 81;29,5;REFLOW
04:40,25;210,8;240,5;138,3;131,8;0,0;0,0;130;135,0;  0; 69;29,4;REFLOW
04:40,50;210,8;241,6;138,1;131,6;0,0;0,0;130;134,8;  0; 72;29,4;REFLOW
04:40,75;210,2;241,0;137,9;131,4;0,0;0,0;130;134,7;  0; 66;29,3;REFLOW
04:41,00;210,2;239,9;137,7;131,3;0,0;0,0;129;134,5;  0; 81;29,4;REFLOW
04:41,25;208,6;239,4;137,5;131,1;0,0;0,0;129;134,3;  0; 75;29,4;REFLOW
04:41,50;209,1;239,9;137,2;130,9;0,0;0,0;129;134,1;  0; 66;29,3;REFLOW
04:41,75;207,5;238,3;137,0;130,8;0,0;0,0;129;133,9;  0; 66;29,4;REFLOW
04:42,00;206,4;238,3;136,7;130,6;0,0;0,0;128;133,7;  0; 78;29,5;REFLOW
04:42,25;205,3;239,4;136,5;130,4;0,0;0,0;128;133,5;  0; 75;29,4;REFLOW
04:42,50;205,3;239,4;136,3;130,3;0,0;0,0;128;133,3;  0; 69;29,4;REFLOW
04:42,75;204,7;239,9;135,9;130,1;0,0;0,0;128;133,0;  0; 60;29,4;REFLOW
04:43,00;204,2;239,4;135,8;130,1;0,0;0,0;127;132,9;  0; 84;29,5;REFLOW
04:43,25;204,2;238,3;135,5;129,9;0,0;0,0;127;132,7;  0; 72;29,4;REFLOW
04:43,50;204,2;237,2;135,4;129,8;0,0;0,0;127;132,6;  0; 75;29,4;REFLOW
04:43,75;204,2;236,1;135,2;129,6;0,0;0,0;127;132,4;  0; 69;29,4;REFLOW
04:44,00;203,1;235,0;135,1;129,5;0,0;0,0;126;132,3;  0; 90;29,4;REFLOW
04:44,25;203,1;232,8;134,9;129,3;0,0;0,0;126;132,1;  0; 84;29,4;REFLOW
04:44,50;202,0;231,7;134,7;129,2;0,0;0,0;126;131,9;  0; 78;29,4;REFLOW
04:47,00;199,8;227,3;132,4;126,9;0,0;0,0;  0;-154742504910672530000000000,0; 65;205;0,0;UNKNOWN
04:55,00;187,1;212,4;129,7;123,4;0,0;0,0;  0;-309485009821345070000000000,0; 65;103;0,0;UNKNOWN
04:59,50;176,1;202,5;122,5;120,5;0,0;0,0;114;121,5;  0;126;29,4;REFLOW
04:59,75;176,1;202,5;122,4;120,4;0,0;0,0;114;121,4;  0;120;29,4;REFLOW
05:00,00;174,5;200,9;122,3;120,4;0,0;0,0;114;121,3;  0;141;29,5;REFLOW
05:00,25;175,0;201,4;122,1;120,4;0,0;0,0;114;121,2;  0;135;29,5;REFLOW
05:00,50;173,9;201,4;121,9;120,3;0,0;0,0;114;121,1;  0;132;29,4;REFLOW
05:00,75;172,3;200,9;121,6;120,3;0,0;0,0;114;120,9;  0;123;29,4;REFLOW
05:01,00;172,3;199,8;121,4;120,1;0,0;0,0;113;120,8;  0;141;29,5;REFLOW
05:01,25;171,7;199,2;121,2;120,0;0,0;0,0;113;120,6;  0;138;29,4;REFLOW
05:01,50;172,3;197,6;121,0;119,9;0,0;0,0;113;120,4;  0;132;29,4;REFLOW
